Month,Financial_Year,Bank_Count,Transaction_Volume_Mn,Transaction_Value_Cr,Year,Month_Name,Month_Number
01-04-2016,2016-17,21,0,0,2016,April,4
01-05-2016,2016-17,21,0,0,2016,May,5
01-06-2016,2016-17,21,0,0,2016,June,6
01-07-2016,2016-17,21,0.09,0.38,2016,July,7
01-08-2016,2016-17,21,0.09,3.09,2016,August,8
01-09-2016,2016-17,25,0.09,32.64,2016,September,9
01-10-2016,2016-17,26,0.1,48.57,2016,October,10
01-11-2016,2016-17,30,0.29,100.46,2016,November,11
01-12-2016,2016-17,35,1.99,707.93,2016,December,12
01-01-2017,2016-17,36,4.46,1696.22,2017,January,1
01-02-2017,2016-17,44,4.38,1937.71,2017,February,2
01-03-2017,2016-17,44,6.37,2425.14,2017,March,3
01-04-2017,2017-18,48,7.2,2271.24,2017,April,4
01-05-2017,2017-18,49,9.36,2797.07,2017,May,5
01-06-2017,2017-18,52,10.35,3098.36,2017,June,6
01-07-2017,2017-18,53,11.63,3411.35,2017,July,7
01-08-2017,2017-18,55,16.8,4156.62,2017,August,8
01-09-2017,2017-18,57,30.98,5325.81,2017,September,9
01-10-2017,2017-18,60,76.96,7057.78,2017,October,10
01-11-2017,2017-18,61,105.02,9669.33,2017,November,11
01-12-2017,2017-18,67,145.64,13174.24,2017,December,12
01-01-2018,2017-18,71,151.83,15571.2,2018,January,1
01-02-2018,2017-18,86,171.4,19126.2,2018,February,2
01-03-2018,2017-18,91,178.05,24172.6,2018,March,3
01-04-2018,2018-19,97,190.08,27021.85,2018,April,4
01-05-2018,2018-19,101,189.48,33288.51,2018,May,5
01-06-2018,2018-19,110,246.37,40834.03,2018,June,6
01-07-2018,2018-19,114,273.75,51843.14,2018,July,7
01-08-2018,2018-19,114,312.02,54212.26,2018,August,8
01-09-2018,2018-19,122,405.87,59835.36,2018,September,9
01-10-2018,2018-19,128,482.36,74978.27,2018,October,10
01-11-2018,2018-19,128,524.94,82232.21,2018,November,11
01-12-2018,2018-19,129,620.17,102594.82,2018,December,12
01-01-2019,2018-19,134,672.75,109932.43,2019,January,1
01-02-2019,2018-19,139,674.19,106737.12,2019,February,2
01-03-2019,2018-19,142,799.54,133460.72,2019,March,3
01-04-2019,2019-20,144,781.79,142034.39,2019,April,4
01-05-2019,2019-20,143,733.54,152449.29,2019,May,5
01-06-2019,2019-20,142,754.54,146566.35,2019,June,6
01-07-2019,2019-20,143,822.29,146386.64,2019,July,7
01-08-2019,2019-20,141,918.35,154504.89,2019,August,8
01-09-2019,2019-20,141,955.02,161456.56,2019,September,9
01-10-2019,2019-20,141,1148.36,191359.94,2019,October,10
01-11-2019,2019-20,143,1218.77,189229.09,2019,November,11
01-12-2019,2019-20,143,1308.4,202520.76,2019,December,12
01-01-2020,2019-20,144,1305.02,216242.97,2020,January,1
01-02-2020,2019-20,146,1325.69,222516.95,2020,February,2
01-03-2020,2019-20,148,1246.84,206462.31,2020,March,3
01-04-2020,2020-21,153,999.57,151140.66,2020,April,4
01-05-2020,2020-21,155,1234.5,218391.6,2020,May,5
01-06-2020,2020-21,155,1336.93,261835,2020,June,6
01-07-2020,2020-21,164,1497.36,290537.86,2020,July,7
01-08-2020,2020-21,168,1618.83,298307.61,2020,August,8
01-09-2020,2020-21,174,1800.14,329027.66,2020,September,9
01-10-2020,2020-21,189,2071.62,386106.74,2020,October,10
01-11-2020,2020-21,200,2210.23,390999.15,2020,November,11
01-12-2020,2020-21,207,2234.16,416176.21,2020,December,12
01-01-2021,2020-21,207,2302.73,431181.89,2021,January,1
01-02-2021,2020-21,213,2292.9,425062.76,2021,February,2
01-03-2021,2020-21,216,2731.68,504886.44,2021,March,3
01-04-2021,2021-22,220,2641.06,493663.68,2021,April,4
01-05-2021,2021-22,224,2539.57,490638.65,2021,May,5
01-06-2021,2021-22,229,2807.51,547373.17,2021,June,6
01-07-2021,2021-22,235,3247.82,606281.14,2021,July,7
01-08-2021,2021-22,249,3555.55,639116.95,2021,August,8
01-09-2021,2021-22,259,3654.3,654351.81,2021,September,9
01-10-2021,2021-22,261,4218.65,771444.98,2021,October,10
